Comment,Designator,Footprint,LCSC,Quantity
2.2uF,C5,C_0402_1005Metric,C12530,1
TPS25200DRVR,U4,WSON-6_L2.0-W2.0-P0.65-TL-EP,C128401,1
MCP73831,U6,SOT-23-5,C14879,1
LIS3DH,U15,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134,1
10nF,C19,C_0402_1005Metric,C15195,1
100nF,"C11,C12,C20,C22,C29,C31,C4",C_0402_1005Metric,C1525,7
10uF,"C1,C14,C7",C_0402_1005Metric,C15525,3
22pF,"C24,C25",C_0402_1005Metric,C1555,2
LP0404N3T5G,Q1,SOT-883-3_L1.0-W0.6-BR,C172433,1
SMF5.0A,D2,SOD-123FL_L2.7-W1.8-LS3.8-RD,C193402,1
22,"R13,R14",C_0402_1005Metric,C25092,2
100k,"R11,R19,R2,R5",C_0402_1005Metric,C25741,4
10k,"R1,R12,R4,R6,R7,R8",C_0402_1005Metric,C25744,6
1M,"R10,R9",C_0402_1005Metric,C25762,2
300k,"R17,R18",C_0402_1005Metric,C25774,2
47.5k,R3,C_0402_1005Metric,C25896,1
5.1k,"R15,R16",C_0402_1005Metric,C25905,2
TPS7A0230PDQNR,"U8,U9",UDFN-4_L1.0-W1.0-P0.65-TL,C2867950,2
USB-TYPE-C,U17,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
40MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C2929402,1
WS2812,"U10,U12,U13,U14",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,C2976072,4
MSK4005,D1,SOD-523F_L1.2-W0.8-LS1.7-RD,C345957,1
22uF,"C28,C9",C_0402_1005Metric,C415703,2
BWIPX-1-001E,RF1,IPEX-SMD_BWIPX-1-001E,C496552,1
GT-TC072A-H045-L1,SW3,SW-SMD_GT-TC072X-H045-L1,C5117858,1
1uF,"C10,C13,C17,C23,C26,C3,C30,C6,C8",C_0402_1005Metric,C52923,9
ICS-43434,MK1,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1
SLDA31-2R450G-S2TF,AE1,C_1206_3216Metric,C6807751,1
ESP32-C6FH4,U2,VFQFN-32_L5.0-W5.0-P0.50-TL-EP3.7,C6908287,1
3.3pF,"C15,C16",C_0402_1005Metric,C76906,2
SN74LVC1G32DCKR,U1,SOT-353_L2.1-W1.3-P0.65-LS2.3-BR,C7840,1
W25N01GVZEIG,U5,WSON-8_L8.0-W6.10-P1.27-TL-EP,C88868,1
FAN48610UC50X,U3,WLCSP-9_L1.2-W1.2-R3-C3-P0.40-BL,C890712,1
MAX98357AETE+T,U7,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544,1
2.2nH,"L1,L2",L_0402_1005Metric,C91240,2
470nH,L3,L_0402_1005Metric,C913544,1
E5A5-2.35S10-12B15-F200,SW2,E5A5-2.35S10-12B15-F200,C9900078149,1
